timestamp,airport,icao,temperature_c,dewpoint_c,wind_dir_deg,wind_speed_kt,wind_gust_kt,visibility_m,pressure_hpa,weather,clouds,raw
2025-12-17T00:44:13.123030+09:00,SJW,ZBSJ,-3,-5,,1,,9999,1029,,,ZBSJ 161500Z VRB01MPS CAVOK M03/M05 Q1029 NOSIG
2025-12-17T01:59:08.128160+09:00,SJW,ZBSJ,-4,-5,,1,,9999,1029,,,ZBSJ 161600Z VRB01MPS CAVOK M04/M05 Q1029 NOSIG
2025-12-17T02:49:11.458600+09:00,SJW,ZBSJ,-4,-5,,1,,9999,1029,,,ZBSJ 161700Z VRB01MPS CAVOK M04/M05 Q1029 NOSIG
2025-12-17T03:57:57.619145+09:00,SJW,ZBSJ,-4,-5,0,0,,9999,1030,,,ZBSJ 161800Z 00000MPS CAVOK M04/M05 Q1030 NOSIG
2025-12-17T04:32:40.147706+09:00,SJW,ZBSJ,-4,-5,,1,,8000,1030,,,ZBSJ 161900Z VRB01MPS 8000 NSC M04/M05 Q1030 NOSIG
2025-12-17T04:46:22.149622+09:00,SJW,ZBSJ,-4,-5,,1,,8000,1030,,,ZBSJ 161900Z VRB01MPS 8000 NSC M04/M05 Q1030 NOSIG
2025-12-17T05:44:10.055791+09:00,SJW,ZBSJ,-5,-6,110,1,,8000,1029,,,ZBSJ 162000Z 11001MPS 8000 NSC M05/M06 Q1029 NOSIG
2025-12-17T06:37:25.542477+09:00,SJW,ZBSJ,-5,-6,240,2,,6000,1029,,,ZBSJ 162100Z 24002MPS 6000 NSC M05/M06 Q1029 BECMG TL2240 2500 BR
2025-12-17T06:50:34.255987+09:00,SJW,ZBSJ,-5,-6,240,2,,6000,1029,,,ZBSJ 162100Z 24002MPS 6000 NSC M05/M06 Q1029 BECMG TL2240 2500 BR
2025-12-17T07:39:37.478122+09:00,SJW,ZBSJ,-6,-6,130,2,,6000,1030,,,ZBSJ 162200Z 13002MPS 6000 NSC M06/M06 Q1030 BECMG TL2240 2500 BR
2025-12-17T07:51:39.083165+09:00,SJW,ZBSJ,-6,-6,130,2,,6000,1030,,,ZBSJ 162200Z 13002MPS 6000 NSC M06/M06 Q1030 BECMG TL2240 2500 BR
2025-12-17T08:34:03.279033+09:00,SJW,ZBSJ,-6,-6,,1,,6000,1030,,,ZBSJ 162300Z VRB01MPS 6000 NSC M06/M06 Q1030 BECMG TL2340 2500 BR
2025-12-17T08:47:58.470787+09:00,SJW,ZBSJ,-6,-6,,1,,6000,1030,,,ZBSJ 162300Z VRB01MPS 6000 NSC M06/M06 Q1030 BECMG TL2340 2500 BR
2025-12-17T12:45:26.603219+09:00,SJW,ZBSJ,4,-3,220,1,,8000,1030,,,ZBSJ 170300Z 22001MPS 8000 NSC 04/M03 Q1030 NOSIG
2025-12-17T13:56:19.559168+09:00,SJW,ZBSJ,6,-1,170,2,,6000,1029,,,ZBSJ 170400Z 17002MPS 6000 NSC 06/M01 Q1029 NOSIG
2025-12-17T14:45:51.663871+09:00,SJW,ZBSJ,9,-2,170,3,,6000,1028,,,ZBSJ 170500Z 17003MPS 6000 NSC 09/M02 Q1028 NOSIG
2025-12-17T15:58:29.735766+09:00,SJW,ZBSJ,9,-2,160,4,,8000,1027,,,ZBSJ 170600Z 16004MPS 8000 NSC 09/M02 Q1027 NOSIG
2025-12-17T16:40:23.053259+09:00,SJW,ZBSJ,9,-3,170,5,,8000,1027,,,ZBSJ 170700Z 17005MPS 8000 NSC 09/M03 Q1027 NOSIG
